Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
Nunu Abashidze,,Soviet Union,,,Shot put,,1981,?,,,,,?,,
Ahmed Abd El Raouf,,Egypt,,M,Hammer throw,,2008,2 years,,,,,Norandrosterone,,
Inga Abitova,,Russia,,,Long distance,,2009,2 years,,,,,Biological passportanomalies,,
Folashade Abugan,,Nigeria,,,Sprinting,,2010,2 years,,,,,Testosteroneprohormone,,
Ibrahim Mohamed Aden,,Somalia,,M,Middle distance,,1999,Public warning,,,,,Ephedrine,,
Tosin Adeloye,,Nigeria,,,Sprinting,,2012,2 years,,,,,Metenolone,,
Tosin Adeloye,,Nigeria,,,Sprinting,,2015,8 years,,,,,Exogenous steroids,,
Funke Adeoye,,Nigeria,,,Hammer throw,,2007,Public warning,,,,,Ephedrine,,
Alessandra Aguilar,,Spain,,,Long distance,,08/12/2011,3 months,,,,,?,,
Amina Ait Hammou,,Morocco,,,Middle distance,,2008,1 year,,,,,3 whereabouts failures,,
Seltana Ait Hammou,,Morocco,,,Middle distance,,2008,1 year,,,,,3 whereabouts failures,,
Chioma Ajunwa,,Nigeria,,,"Long jump, sprinting",,1992,4 years,,,,,?,,
Esther Akinsulie,,Canada,,,Sprinting,,2013,6 months,,,,,Hydrochlorothiazide,,
Ashwini Akkunji,,India,,,Sprinting,,2011,2 years,,,,,Anabolic steroids,,
Mary Akor Basley,,United States,,F,Marathon,,2012,2 years,,,,,Clenbuterol,,
Mikko Ala-Leppilampi,,Finland,,,Long distance,,1972,?,,,,,Self admittance of blood transfusions (not illegal at the time),,
Mariem Alaoui Selsouli,,Morocco,,,Middle distance,,2009,2 years,,,,,EPO,,
Mariem Alaoui Selsouli,,Morocco,,,Middle distance,,2012,8 years,,,,,Furosemide,,
Sultan Al-Dawoodi,,Saudi Arabia,,,Discus throw,,2009,2 years,,,,,Norandrosterone,,
Denis Alekseyev,,Russia,,M,Sprinting,,2013,2 years,,,,,Dehydrochloromethyltestosterone,,
Barakat Al-Harthi,,Oman,,,Sprinting,,2011,6 months,,,,,Methylprednisolone,,
Ghfran Almouhamad,,Syria,,,Hurdling,,2012,6 months,,,,,Methylhexaneamine,,
Anna Alminova,,Russia,,F,Middle distance,,2010,3 months,,,,,Pseudoephedrine,,
Anna Alminova,,Russia,,F,Middle distance,,2009,30 months,,,,,Biological passportanomalies,,
Anthony Alozie,,Australia,,M,Sprinting,,2013,20 months,,,,,Three Whereabouts Failures,,
Asli Cakir Alptekin,,Turkey,,,Middle distance/steeplechase,,2004,2 years,,,,,Metenolone,,
Asli Cakir Alptekin,,Turkey,,,Middle distance/steeplechase,,2010,8 years,,,,,Biological passport,,
Chinaza Amadi,,Niger,,,Long jump,,2015,4 years,,,,,Metenolone,,
Gloria Amuche Nwosu,,Nigeria,,F,Sprinting,,2005,2 years,,,,,Testosterone,,
Anis Ananenka,,Belarus,,,Middle distance,,2015,4 years,,,,,GW1516,,
Andreas Anastasopoulos,,Greece,,M,Shot put,,2001,2 years,,,,,?,,
Georg Andersen,,Norway,,,Shot put,,1991,21 months,,,,,Metenolone,,
Marvin Anderson,,Jamaica,,,Sprinting,,2009,3 months,,,,,4-Methyl-2-hexanamine,,
Lyudmila Andonova,,Bulgaria,,,High jump,,1985,18 months,,,,,Amphetamine,,
Yeorgios Andreou,,Cyprus,,,Decathlon,,2003,2 years,,,,,,,
Vladimir Andreyev,,Russia,,,Race walking,,2005,1 year,,,,,Salbutamol,,
Yuriy Andronov,,Russia,,,Race walking,,2014,2 years,,,,,Trimetazidine,,
Ivanildo dos Anjos,,Brazil,,,Long distance,,2014,18 months,,,,,Hydrochlorothiazide,,
Adrian Annus,,Hungary,,,Hammer throw,,2004,2 years,,,,,"Missed test, tampering",,
Seema Antil,,India,,,Discus throw,,2000,Public warning,,,,,Pseudoephedrine,,
Alina Antipova,,Russia,,F,,,02/03/2012,2 years,18/03/2014,,,,,,
Elena Antoci,,Romania,,,Middle distance,,2008,,,,,,EPO,,
Olena Antonova,,Ukraine,,,Discus throw,,2009(Retested 2013),2 years,,,,,Stanozolol,,
Esref Apak,,Turkey,,,Hammer throw,,2013,2 years,,,,,Stanozolol,,
Thozama April,,South Africa,,,Long distance,,2014,2 years,,,,,"Phentermine,Prednisolone,Norandrosterone",,
Demetra Arachoviti,,Greece,,F,Hurdling,,06/03/2012,2 years,,,,,Stanozolol,,
Geisa Arcanjo,,Brazil,,,Shot put,,2010,Public warning,,,,,Hydrochlorothiazide,,
Juana Arrendel,,Dominican Republic,,,High jump,,1999,,,,,,Stanozolol,,
Katsiaryna Artsiukh,,Kazakhstan,,,Hurdling,,2010,2 years,,,,,Metenolone,,
Natalya Artyomova,,Russia,,F,Middle distance,,,,,,,,Steroids,,
Tatiana Aryasova,,Russia,,F,Long distance,,27/02/2012,2 years,,,,,Hydroxyethylstarch,,
Elena Arzhakova,,Russia,,,Middle distance,,2011,2 years,,,,,Biological passportviolation,,
Malika Asahssah,,Morocco,,,Long distance,,2015,4 years,,,,,Stanozolol,,
Delilah Asiago,,Kenya,,,Long distance,,1999,,,,,,,,
Innocent Asonze,,Nigeria,,,Sprinting,,1999,,,,,,,,
Wayne Athorne,,Australia,,M,Decathlon,,,,,,,,Methandienone (Dianabol),,
Duncan Atwood,,United States,,M,Javelin throw,,1985,Life ban(later reduced),,,,,Stimulant,,
Olutoyin Augustus,,Nigeria,,,Hurdles,,2009,2 years,,,,,Abnormaltestosteronelevels,,
(Toyin Augustus),,Nigeria,,,Hurdles,,2009,2 years,,,,,Abnormaltestosteronelevels,,
Anna Avdeyeva,,Russia,,F,Shot put,,2013,2 years,,,,,Oral Turinabol(anabolic steroid),,
Roman Avramenko,,Ukraine,,M,Javelin throw,,2013,2 years,,,,,Dehydrochloromethyltestosterone,,
Roman Avramenko,,Ukraine,,M,Javelin throw,,2015,8 years,,,,,Dehydrochloromethyltestosterone,,
Hussein Awada,,Lebanon,,M,Cross country running,Half marathon,2012,2 years,,,,,Nandrolone,,
Mark Anthony Awere,,Ghana,,M,Long jump,,2001,3 months,,,,,,,
Bimbo Miel Ayedou,,Benin,,F,Sprinting,,09/03/2012,2 years,,,,,Nandrolone,,
SÅureyya Ayhan,,Turkey,,,Middle distance,,2004,2 years,,,,,Interfering with test,,
SuÅreyya Ayhan,,Turkey,,,Middle distance,,2007,Life ban,,,,,"Stanozolol, Methandienone",,
SuÅreyya Ayhan-Kop,,Turkey,,,Middle distance,,2007,Life ban,,,,,,,
Masoud Azizi,,Afghanistan,,,Sprinting,,2013,2 years,,,,,Nandrolone,,
Ahmed Baday,,Morocco,,M,Long distance,,2010,2 years,,,,,Biological passportanomalies,,
Ndiss Kaba Badji,,Senegal,,,"Long jump, triple jump",,2005,2 years,,,,,Androstenedione,,
Oleksandr Bagach,,Soviet Union,,,Shot put,,1989,2 years,,,,,Steroids,,
Oleksandr Bagach,,Ukraine,,,Shot put,,1997,Public warning and disqualification,,,,,Ephedrine,,
Jose Alessandro Bagio,,Brazil,,M,Race walking,,2010,2 years,,,,,19-Norandrosterone,,
Amina Bakhit,,Sudan,,,Middle distance,,2009,2 years,,,,,Norandrosterone,,
Sergey Bakulin,,Russia,,M,Race walking,,2011,3 years and 2 months,,,,,Biological passportanomalies,,
Zivile Balciunaite,,Lithuania,,,Long distance,,2010,2 years,,,,,Testosterone,,
Michal Balner,,Czech Republic,,,Pole vault,,2010,1 month,,,,,Cannabis,,
Onalenna Baloyi,,Botswana,,,Middle distance,,2010,2 years,,,,,Methylhexanamine,,
Yuliya Balykina,,Belarus,,,Sprinting,,2013,2 years,,,,,Drostanolone,,
Falk Balzer,,Germany,,,Hurdling,,2001,2 years,,,,,Nandrolone,,
Aicha Bani,,Spain,,F,,,17/07/2011,2 years,28/12/2013,,,,,,
Konstadinos Baniotis,,Greece,,,High jump,,2013,Public warning,,,,,Furosemide,,
Jarrod Bannister,,Australia,,M,Javelin throw,,2012,20 months,,,,,Three Whereabouts Failures within 18-month period,,
Kelly-Ann Baptiste,,Trinidad and Tobago,,F,Sprinting,,,2 years,,,,,,,
Shawnacy Barber,,Canada,,,Pole vault,,2016,Public warning,,,,,Cocaine,,
Roberto Barbi,,Italy,,M,Marathon,,1996,3 months,,,,,Ephedrine,,
Roberto Barbi,,Italy,,M,Marathon,,2001,"4 years, reduced to 25 months",,,,,EPO,,
Roberto Barbi,,Italy,,M,Marathon,,2008,Life ban,,,,,"EPO, Ephedrine",,
Roxana Barca,,Romania,,F,Long distance running,,2013,2 years,,,,,Methasterone,,
Randy Barnes,,United States,,,Shot put,,1990,27 months,,,,,Methyltestosterone,,
Randy Barnes,,United States,,,Shot put,,1998,Life ban,,,,,Androstenedione,,
Yarelys Barrios,,Cuba,,,Discus throw,,2008,,,,,,Acetazolamide,,
Bruno de Barros,,Brazil,,,Sprinting,,2009,2 years,,,,,EPO,,
Elias Bastos,,Brazil,,,Cross country running,,2014,2 years,,,,,Methyltestosterone,,
Giuliano Battocletti,,Italy,,,Long distance running,,1999,16 months,,,,,Nandrolone,,
Dieter Baumann,,Germany,,M,Long distance,,1999,2 years,,,,,Nandrolone,,
Julie Baumann,,Canada,,F,Hurdling,,1989,2 years,,,,,Stanozolol,,
Vadim Bavikin,,Israel,,M,Javelin throw,,1994,4 years,,,,,Steroids,,
Chantal Beaugeant,,France,,,Heptathlon,,1989,2 years,,,,,,,
James Beckford,,Jamaica,,M,Long jump,,1997,3 months,,,,,Ephedrine,,
Violeta Beclea,,Romania,,,Middle distance,,1995,4 years,,,,,Steroids,,
Chaltu Beji,,Azerbaijan,,,Steeplechase,,2015,4 years,,,,,Ostarine,,
Alemitu Bekele,,Turkey,,,Long distance,,2009,2 years and 9 months,,,,,Biological passportanomalies,,
Mimi Belete,,Bahrain,,,Middle/Long distance,,2010,Public reprimand and disqualification,,,,,Salbutamol,,
Irina Belova,,Russia,,F,Heptathlon,,1993,4 years,,,,,Testosterone,,
Kenta Bell,,United States,,,Triple jump,,2007,3 months,,,,,Methylprednisolone,,
Awatef Ben Hassine,,Tunisia,,,Sprinting,,2004,2 years,,,,,Norandrosterone,,
Yassine Bensghir,,Morocco,,,Middle distance,,2014,4 years,,,,,Biological passport,,
Frederic Berland,,France,,M,,,12/06/2011,15 months,12/09/2012,,,,,,
Yahya Berrabah,,Morocco,,,Long jump,,2009,Public warning,,,,,Cannabis,,
Yahya Berrabah,,Morocco,,,Long jump,,2011,4 years (2nd ADRV),,,,,EPO,,
Gwen Berry,,United States,,F,Hammer throw,,2016,3 months,,,,,Use of a prohibited substance (Vilanterol Trifenatate),,
Michael Berry,,United States,,M,Sprinting,,2010,3 months,,,,,Cannabis,,
Mariya Bespalova,,Russia,,,Hammer throw,,2015,4 years,,,,,Dehydrochloromethyltestosterone,,
Maria Cristina Betancourt,,Cuba,,F,Discus throw,,1983,Life ban,,,,,,,
Tim Bethune,,Canada,,M,Sprinting,,1985,,,,,,Self admittance of steroid use (Dubin inquiry),,
Kipyegon Bett,,Kenya,,,800 m,,2017,4 years,,,,,Erythropoietinout-of-competition test in November 2017,,
Antonella Bevilacqua,,Italy,,,High jump,,1996,,,,,,"Ephedrine, pseudoephedrine",,
Uwe Beyer,,West Germany,,,Hammer throw,,1960's/1970's,?,,,,,Anabolic steroids (self-admitted),,
Alemayehu Bezabeh,,Spain,,,Middle/Long distance,,2010,2 years,,,,,Use of a prohibited method (Operation Galgo),,
Rajendra Bahadur Bhandari,,Nepal,,,Long distance,,2006,2 years,,,,,Norandrosterone,,
Quentin Bigot,,France,,,Hammer throw,,2014,2 years,,,,,MethandienoneandStanozolol,,
Madina Biktagirova,,Unified Team,,,Long distance,,1992,,,,,,Norephedrine,,
Yuriy Bilonoh,,Ukraine,,,Shot put,,2004,3 years,,,,,Oxandrolone,,
Yuriy Bilonoh,,Ukraine,,,Shot put,,(Sample retested 2012),,,,,,,,
Svetlana Biryukova,,Russia,,,Long jump,,2014,2-year ban,,,,,SARMs,,
Dominique Blake,,Jamaica,,,Sprinting,,2006,9 months,,,,,Ephedrine,,
Dominique Blake,,Jamaica,,,Sprinting,,2012,4 years and 6 months(Reduced from 6 years),,,,,Methylhexanamine,,
Yohan Blake,,Jamaica,,M,Sprinting,,2009,3 months,,,,,4-Methyl-2-hexanamine,,
Jose Luis Blanco,,Spain,,M,Middle distance,,2010,2 years,,,,,EPO,,
Zhanna Block,,Ukraine,,F,Sprinting,,30/11/2002,2 years,05/10/2013,,,,IAAF 60.1 & BALCO scandal,,
Lyudmyla Blonska,,Ukraine,,F,"Heptathlon, long jump",,2003,2 years,,,,,Stanozolol,,
Lyudmyla Blonska,,Ukraine,,F,"Heptathlon, long jump",,16/08/2008,Life ban,,,,,Methyltestosterone,,
Petr Bogatyrev,,Russia,,,Race walking,,2011,2 years,,,,,Biological passportanomalies,,
Ato Boldon,,Trinidad and Tobago,,M,Sprinting,,2001,Public warning,,,,,Ephedrine,,
Scott Boothby,,United States,,M,Hammer throw,,2006,4 years(Reduced from 8 years),,,,,"Finasteride,6-oxo-androstenedione",,
Valeriy Borchin,,Russia,,,Race walking,,2005,1 year,,,,,Ephedrine,,
Valeriy Borchin,,Russia,,,Race walking,,2009,8 years,,,,,Biological passportanomalies,,
Beranger-Aymard Bosse,,Central African Republic,,,Sprinting,,2016,2 years,,,,,Prednisolone,,
Mihaela Botezan,,Romania,,,Long distance,,2007,2 years,,,,,Chlortalidone,,
Chakir Boujattaoui,,Morocco,,,Long-distance,,2010,2 years,,,,,MIRCERA,,
Brahim Boulami,,Morocco,,,Steeplechace,,2002,2 years,,,,,EPO,,
Larbi Bouraada,,Algeria,,,Decathlon,,2012,2 years,,,,,Stanozolol,,
Abderrahime Bouramdane,,Morocco,,,Marathon,,2011,2 years,,,,,Biological passport,,
Zahra Bouras,,Algeria,,,Middle-distance,,2012,2 years,,,,,Stanozolol,,
Sofiya Bozhanova,,Bulgaria,,,Long/Triple jump,,1994,4 years,,,,,Amphetamine,,
Kevin Braunskill,,United States,,M,Sprinting,,1994,4 years,,,,,Stanozolol,,
Grit Breuer,,Germany,,,Sprinting,,1992,2 years,,,,,Clenbuterol,,
Okkert Brits,,South Africa,,,Pole vault,,2003,Public warning,,,,,Ephedrine,,
Damien Broothaerts,,Belgium,,,Hurdling,,2011,1 year(Reduced from 2 years),,,,,"Methylhexanamine, 3 whereabouts failures",,
Alicia Brown,,Canada,,F,Sprinting,,2013,2 years,,,,,Hydrochlorothiazide,,
Erik de Bruin,,Netherlands,,,"Discus throw, shot put",,1993,4 years,,,,,"Testosterone, Stanozolol & hCG",,
Ricky Bruch,,Sweden,,M,Discus throw,,1960's/1970's,?,,,,,Anabolic steroids (self-admitted),,
Yelyzaveta Bryzhina,,Ukraine,,,Sprinting,,2013,2 years,,,,,Drostanolone,,
Aleksandr Bulanov,,Russia,,,Shot put,,2009,2 years,,,,,Methandienone,,
Viktor Burayev,,Russia,,,Race walking,,2008,2 years,,,,,EPO,,
Tamara Bykova,,Soviet Union,,,High jump,,1990,3 months,,,,,Ephedrine,,
Yolanda Caballero,,Colombia,,,Long distance,,2011,4 years,,,,,Biological passport,,
Yolanda Caballero,,Colombia,,,Long distance,,2014,,,,,,Tampering,,
Gary Cadogan,,Great Britain,,M,"Sprinting, hurdling",,1998,2 years,,,,,Nandrolone,,
Dorina Calenic,,Romania,,,Long distance,,1987,,,,,,,,
Mehmet Caglayan,,Turkey,,,Long distance,,2010,2 years,,,,,EPO,,
Jillian Camarena-Williams,,United States,,,Shot put,,2013,6 months,,,,,Clomiphene,,
John Capel,,United States,,M,Sprinting,,2004,Public warning,,,,,Cannabis,,
John Capel,,United States,,M,Sprinting,,2006,2 years,,,,,Cannabis,,
Dean Capobianco,,Australia,,M,Sprinting,,1996,2 years(Reduced from 4 years),,,,,Stanazolol,,
Hector Carrasquillo,,Puerto Rico,,M,Sprinting,,2011,2 years,,,,,Anabolic steroid,,
LaMark Carter,,United States,,,Triple jump,,2004,Public warning,,,,,Salbutamol,,
Silviu Casandra,,Romania,,,Race walking,,2002,2 years,,,,,,,
Arnaud Casquette,,Mauritius,,,Long jump,,2005,6 months,,,,,Cannabis,,
Victor Castillo,,Venezuela,,M,Long jump,,2006,2 years,,,,,Furosemide,,
Victor Castillo,,Venezuela,,M,Long jump,,25/10/2011,4 years,,,,,Methylhexaneamine,,
Recep Celik,,Turkey,,M,Race walking,,12/05/2012,2 years,,,,,Metenolone,,
Jolanda Ceplak,,Slovenia,,,Middle distance,,2007,2 years,,,,,EPO,,
Dwain Chambers,,Great Britain,,M,Sprinting,,2003,2 years,,,,,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",,
Hafid Chani,,Morocco,,,Long distance,,2011,4 years,,,,,Biological passport,,
Jamel Chatbi,,Morocco,,,Steeplechase,,2009,3 years,,,,,Clenbuterol,,
Jani Chathurangani Silva,,Sri Lanka,,,Sprinting,,2006,2 years,,,,,Nandrolone,,
David Chaussinand,,France,,,Hammer throw,,23-May-02,3 years,,,,,Metenolone,,
David Chaussinand,,France,,,Hammer throw,,24-Jun-02,3 years,,,,,Clenbuterol,,
Mouhcine Cheaouri,,Morocco,,,Pole vault,,2016,4 years,,,,,Stanozolol,,
Emily Chebet,,Kenya,,,"Long distance, cross country",,2015,4 years,,,,,Furosemide,,
Cristiana Checchi,,Italy,,,Shot put,,2003,Public warning,,,,,Caffeine,,
Viktor Chegin,,Russia,,,Coach,,,Life ban,,,,,"Administration of a prohibited substance, complicity",,
Abdelatif Chemlal,,Morocco,,,Steeplechase,,2004,2 years,,,,,Norandrosterone,,
Flomena Chepchirchir,,Kenya,,,Marathon,,2014,6 months,,,,,,,
Pamela Chepchumba,,Kenya,,,Cross country running,,2003,2 years,,,,,EPO,,
Susan Chepkemei,,Kenya,,,Long distance,,2007,1 year,,,,,Salbutamol,,
Svetlana Cherkasova,,Russia,,,Middle distance,,2007,33 months,,,,,Fraudulent substitution of urine,,
Lada Chernova,,Russia,,,Javelin throw,,2008,2 years,,,,,Metenolone,,
Lada Chernova,,Russia,,,Javelin throw,,2013,Life ban,,,,,Bromantane,,
Tatyana Chernova,,Russia,,,Heptathlon,,2009,2 years,,,,,Oral Turinabol,,
Lydia Cheromei,,Kenya,,,Long distance,,2005,2 years,,,,,Clomiphene,,
Damu Cherry,,United States,,,Hurdling,,2003,2 years,,,,,Norandrosterone,,
Silvano Chesani,,Italy,,,High jump,,2007,Public warning,,,,,Formoterol,,
Christophe Cheval,,France,,,Sprinting,,2001,2 years,,,,,Nandrolone,,
Dimitrios Chondrokoukis,,Greece,,,High jump,,2012,2 years,,,,,Stanozolol,,
Fouad Chouki,,France,,,Middle distance,,2003,2 years,,,,,EPO,,
Khalid Choukoud,,Netherlands,,,Long distance,,2007,2 years,,,,,Stanozolol,,
Linford Christie,,Great Britain,,M,Sprinting,,1999,2 years,,,,,Nandrolone,,
Vivian Chukwuemeka,,Nigeria,,,Shot put and discus,,2009,2 years,,,,,Oxymetholone,,
Vivian Chukwuemeka,,Nigeria,,,Shot put and discus,,2012,Life ban,,,,,Stanozolol,,
Clement Chukwu,,Nigeria,,,Sprinting,,1992,4 years,,,,,,,
Yelena Churakova,,Russia,,,Hurdling,,2013,2 years,,,,,Methandienone&Dehydrochloromethyltestosterone,,
Hazel Clark,,United States,,,Middle distance,,2001,Public warning,,,,,Pseudoephedrine,,
Venolyn Clarke,,Canada,,,Sprinting,,2001,4 years,,,,,Stanozolol,,
Ramon Clay,,United States,,,Sprinting,,2000?2004,2 years,,,,,Steroids and hormones (BALCO scandal),,
Luis Collazo,,Puerto Rico,,M,Long distance,,06/09/2011,2 years,,,,,Exogenoussteroids,,
Michelle Collins,,United States,,,Sprinting,,2002?2004,4 years(Reduced from 8 years),,,,,"THG, EPO (BALCO scandal)",,
Rosa Colorado,,Spain,,,Hurdling,,1980,18 months,,,,,Steroids,,
Hannah Cooper,,Liberia,,,Sprinting,,1999,,,,,,,,
Harold Connolly,,United States,,,Hammer throw,,1960's,?,,,,,Self-admitted Anabolic steroids,,
Jessica Cosby,,United States,,,Hammer throw,,2009,4 months,,,,,"Hydrochlorothiazide, chlorothiazide",,
Nuno da Costa,,Portugal,,,Cross country running,,2011,2 years,,,,,EPO,,
Daniela Costian,,Romania,,,Discus throw,,1986,,,,,,,,
Julie Coulaud,,France,,,Middle/Long distance,,2008,3 years,,,,,Testosterone,,
Crystal Cox,,United States,,F,Sprinting,,2002,Public warning,,,,,Ephedrine (positive test),,
Crystal Cox,,United States,,F,Sprinting,,2001-2004,4-year ban,25/01/2014,,,,Anabolic steroids (self admitted),,
Shawn Crawford,,United States,,,Sprinting,,2012,2 years,,,,,3 whereabouts failures,,
Olga Cristea,,Moldova,,,Middle-distance,,2010,2 years,,,,,Testosterone,,
Peter Dajia,,Canada,,,Shot put,,1983?,18 months,,,,,Self admittance in 1989: Steroids,,
Peter Dajia,,Canada,,,Shot put,,1986,,,,,,"Positive test: Steroids, Testosterone",,
Martina Danisova†-Hrasnova,,Slovakia,,,Hammer throw,,2003,2 years,,,,,Nandrolone,,
Bonnie Dasse,,United States,,,Shot put,,1992,4 years,,,,,Clenbuterol,,
Marie Davenport,,Ireland,,,Long distance,,1996,Reprimand,,,,,Phenylpropanolamine,,
(Marie McMahon),,Ireland,,,Long distance,,1996,Reprimand,,,,,Phenylpropanolamine,,
Walter Davis,,United States,,,Triple jump,,2013,1 year,,,,,3 whereabouts failures,,
Alice Decaux,,France,,,Hurdling,,2013,6 months,,,,,?-Methylphenethylamine,,
Mary Decker,,United States,,F,Middle distance,,1996,,,,,,Testosterone,,
(Mary Slaney),,United States,,F,Middle distance,,1996,,,,,,Testosterone,,
Tony Dees,,United States,,F,Hurdling,,2001,Life ban,,,,,"Norandrosterone, Noretiochdandone",,
Hind Dehiba,,France,,,Middle distance,,2007,2 years,,,,,EPO,,
Tatyana Dektyareva,,Russia,,,Hurdling,,2014,2 years+I248,,,,,Ostarine,,
Alexande De Los Santos,,Russia,Athlete,M,Long distance,,17/12/2011,2 years,01/03/2014,,,,,,
Dimitrios Delifotis,,Greece,,,Long jump,,1984,,,,,,,,
Luis Delis,,Cuba,,,Discus throw/shot put,,1990,,,,,,,,
Tezeta Dengersa,,Turkey,,,Middle/Long distance,,2005,2 years,,,,,Metenolone,,
Frederic Denis,,France,,M,Steeplechase,,2007,2 years,,,,,EPO,,
Sebastien Denis,,France,,M,Hurdling,,2005,Public warning,,,,,Ephedrine,,
Lyubov Denisova,,Russia,,,Marathon,,2007,2 years,,,,,"Prostanozol, testosterone",,
Manuela Derr,,Germany,,,Sprinting,,1992,3 years,,,,,Clenbuterol,,
