Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
Halina Karnatsevich,,Belarus,,,Long distance,,2006,2 years,,,,,Stanozolol,,
Yanina Karolchyk-Pravalinskaya,,Belarus,,,Shot put,,2003,2 years,,,,,Clenbuterol,,
Mandeep Kaur,,India,,F,Sprinting,,25/05/2011,2 years,23/06/2013,,,,Stanozolol & Methandienone,,
Ali Ekber Kayas,,Turkey,,,Sprinting,,2012,2 years,,,,,Oxandrolone,,
Tatyana Kazankina,,Soviet Union,,,Middle distance,,1984,18 months,,,,,Refusal to submit to doping control,,
Heni Kechi,,France,,,Sprinting,,2007,3 months,,,,,Cannabis,,
Lisa Kehler,,Great Britain,,F,Race walking,,2007,Public warning,,,,,Terbutaline,,
Naman Keita,,France,,,"Hurdling, sprinting",,2007,2 years,,,,,Testosteroneprecursors,,
Gloria Kemasuode,,Nigeria,,,Sprinting,,2009,2 years,,,,,Metenolone & ephedrine,,
(Gloria Ubiebor),,Nigeria,,,Sprinting,,2009,2 years,,,,,Metenolone & ephedrine,,
Simon Kemboi,,Kenya,,,Sprinting,,2000,,,,,,Nandrolone,,
Kostas Kenteris,,Greece,,,Sprinting,,2004,,,,,,Evasion of doping control,,
Kamy Keshmiri,,United States,,,Discus throw,,1992,,,,,,Methandienone,,
Atalelech Ketema,,United States,,,Marathon,,2014,2 years,,,,,Ephedrine,,
Meryem Khali,,Morocco,,,Long distance,,2012,2 years,,,,,Norandrosterone,,
Gulfiya Khanafeyeva,,Russia,,,Hammer throw,,Unknown,3 months,,,,,Unknown,,
Gulfiya Khanafeyeva,,Russia,,,Hammer throw,,2007,33 months,,,,,Fraudulent substitution of urine,,
Yekaterina Khoroshikh,,Russia,,,Hammer throw,,2007,2 years,,,,,6?-methylandrostendione,,
Irina Khudoroshkina,,Russia,,,Shot put,,2004,2 years,,,,,Hydrochlorothiazide,,
Molly Killingbeck,,Canada,,,Sprinting,,1980's,,,,,,Self admittance of steroid use (Dubin inquiry),,
Gary Kinder,,United States,,,Decathlon,,1991,(2 years) overturned due to flaws in testing protocol,,,,,Failure to appear for mandatory drug test,,
Benjamin Kipkurui,,Kenya,,,Middle distance,,2013,3 months,,,,,,,
Abraham Kiprotich,,France,,,Marathon,,2013,2 years,,,,,EPO,,
Nabil Kirame,,Morocco,,,Discus throw,,2006,Public warning,,,,,Cannabis,,
Nabil Kirame,,Morocco,,,Discus throw,,2015,4 years,,,,,Stanozolol,,
UmmÅu Kiraz,,Turkey,,,Long distance,,2011,2 years and 6 months,,,,,Biological passport,,
Sergey Kirdyapkin,,Russia,,,Race walking,,2009,3 years and 2 months,,,,,Biological passport,,
Mathew Kipkoech Kisorio,,Kenya,,,Long distance,,2012,2 years,,,,,Norandrosterone,,
Rael Kiyara,,Kenya,,F,Long distance,,28/05/2012,2 years,18/07/2014,,,,Norandrosterone,,
Svetlana Klyuka,,Russia,,F,Middle distance,,15/08/2009,2 years,09/02/2014,,,,Biological passport,,
Markus Koistinen,,Finland,,,Shot put,,1996,4 years,,,,,hCG (Human chorionic gonadotropin),,
Nemanja Kojic,,Serbia,,,Middle distance,,2015,2 years,,,,,Furosemide,,
Teodora Kolarova,,Bulgaria,,,Middle distance,,2007,2 years,,,,,Testosterone,,
Nikolay Kolev,,Bulgaria,,,Discus throw,,1987,,,,,,,,
Francisca Koki,,Kenya,,,Hurdling,,2015,4 years,,,,,Furosemide,,
Koki Manunga,,Kenya,,,Hurdling,,2015,4 years,,,,,Furosemide,,
Eirini Kokkinariou,,Greece,,,Steeplechase,,2009,4 years,,,,,Biological passport,,
Mikulas Konopka,,Slovakia,,,Shot put,,2002,2 years,,,,,Stanozolol,,
Mikulas Konopka,,Slovakia,,,Shot put,,13/05/2008,Life ban,,,,,Methandienone,,
Ilya Konovalov,,Russia,,,Hammer throw,,2006,2 years,,,,,Acetazolamide,,
Mariya Konovalova,,Russia,,,Long distance,,2009,2 years,,,,,Biological passport,,
Oleksandr Korchmid,,Ukraine,,,Pole vault,,2009,Public warning,,,,,Ephedrine,,
Aleksey Korolev,,Russia,,,Hammer throw,,2009,2 years,,,,,Methandienone,,
Irina Korzhanenko,,Russia,,,Shot put,,1999,2 years,,,,,Steroids,,
Irina Korzhanenko,,Russia,,,Shot put,,2004,Life ban,,,,,Stanozolol,,
Yekaterina Kostetskaya,,Russia,,,Middle distance,,2011,2 years,,,,,Biological passport,,
Dmytro Kosynskyy,,Ukraine,,M,Javelin throw,,18/06/2011,2 years,19/08/2013,,,,Testosterone,,
Tatyana Kotova,,Russia,,,Long jump,,2005,2 years,,,,,Formestane,,
Tatyana Kotova,,Russia,,,Long jump,,(Sample retested 2013),,,,,,Formestane,,
Zoltan Kovago,,Hungary,,,Discus throw,,11/08/2011,2 years,05/07/2014,,,,Refusal to submit,,
Ayman Kozhakhmetova,,Kazakhstan,,,Race walk,,2013,2 years,,,,,"Testosterone,EPO",,
Katrin Krabbe,,Germany,,,Sprinting,,1992,3 years,,,,,Clenbuterol,,
Inessa Kravets,,Ukraine,,,Long/Triple jump,,1993,3 months,,,,,Stimulant,,
Inessa Kravets,,Ukraine,,,Long/Triple jump,,2000,2 years,,,,,Anabolic steroid,,
Lyubov Kremlyova,,Russia,,,Middle distance,,1995,4 years,,,,,Steroids,,
Heidi Krieger,,East Germany,,,Shot put,,1980's,?,,,,,Self admission:Anabolic steroids,,
(Andreas Krieger),,East Germany,,,Shot put,,1980's,?,,,,,Self admission:Anabolic steroids,,
Svetlana Krivelyova,,Russia,,,Shot put,,2004,2 years,,,,,Oxandrolone,,
Svetlana Krivelyova,,Russia,,,Shot put,,(Sample retested 2012),,,,,,,,
Valentin Kruglyakov,,Russia,,,Sprinting,,2013,4 years,,,,,Nandrolone,,
Pavel Kryvitski,,Belarus,,,Hammer throw,,2015,4 years,,,,,HGH,,
Wioletta Kryza,,Poland,,,Long distance,,2002,2 years,,,,,Testosterone,,
Wioletta Kryza,,Poland,,,Long distance,,2012,8 years,,,,,,,
Anastassya Kudinova,,Kazakhstan,,,Sprinting,,2016,4 years,,,,,Drostanolone,,
Anil Kumar,,India,,,Discus throw,,2005,2 years,,,,,Norandrosterone,,
Eyerusalem Kuma,,Ethiopia,,,Long distance,,2013,2 years,,,,,EPO,,
Kagisho Kumbane,,South Africa,,M,Sprinting,,25/02/2012,2 years,14/03/2014,,,,Norandrosterone,,
Yeliz Kurt,,Turkey,,,Middle distance,,2013,2 years,,,,,Stanozolol,,
Damian Kusiak,,Poland,,M,Shot put,,15/06/2012,2 years,14/06/2014,,,,Stanozolol,,
Olga Kuzenkova,,Russia,,,Hammer throw,,2004,2 years,,,,,Formestane & Hydroxytestosterone,,
Olga Kuzenkova,,Russia,,,Hammer throw,,(Sample retested 2012),,,,,,,,
Cosmas Kyeva,,Kenya,,M,,,05/02/2012,2 years,26/02/2014,,,,Norandrosterone,,
Mikko Kyyro,,Finland,,,Discus throw,,2007,Public warning,,,,,Methylprednisolone,,
Abdelhadi Labali,,Morocco,,,Middle distance,,2012,2 years,,,,,Biological passport,,
Soumiya Labani,,Morocco,,,"Long distance, cross country",,2003,2 years,,,,,Nandrolone,,
Florent Lacasse,,France,,,Middle distance,,2007,2 years,,,,,Testosteroneprecursors,,
Amine Laalou,,Morocco,,,Middle distance,,2012,2 years,,,,,Furosemide,,
Amine Laalou,,Morocco,,,Middle distance,,2016,8 years,,,,,EPO,,
Aziz Lahbabi,,Morocco,,,Long distance,,2011,6 months,,,,,Methylhexanamine,,
Laiyuan Gao,,China,,,Long distance,,2012,2 years,,,,,Anabolic steroids,,
Burger Lambrechts,,South Africa,,,Shot put,,2001,2 years,,,,,Stanozolol,,
Enrique Llanos,,Puerto Rico,,,Hurdling,,2008,2 years,,,,,Stanozolol,,
Elena Lashmanova,,Russia,,,Race walking,,2014,2 years,,,,,GW1516,,
Svetlana Laukhova,,Russia,,,Hurdling,,2001,,,,,,,,
Bola Gee Lawal,,Nigeria,,,Sprinting,,2010,2 years,,,,,Methandienone,,
Jeff Laynes,,United States,,,Sprinting,,2001,2 years,,,,,Stanozolol,,
Yuliya Leantsiuk,,Belarus,,,Shot put,,2008,2 years,,,,,Testosterone,,
Suzette Lee,,Jamaica,,,Triple jump,,2005,Public warning,,,,,Salbutamol,,
Mikhail Lemaev,,Russia,,,Marathon,,2009,2 years,,,,,Biological passport,,
Assunta Legnante,,Italy,,,Shot put,,2000,Public warning,,,,,,,
Asmae Leghzaoui,,Morocco,,,Middle distance,,2003,2 years,,,,,EPO,,
Aleksey Lesnichiy,,Belarus,,,High jump,,2004,2 years,,,,,Clenbuterol,,
Mikolaj Lewanski,,Poland,,,Sprinting,,2007,Public warning,,,,,Cannabis,,
Carl Lewis,,United States,,M,"Sprinting, long jump",,,,,,,,"Pseudoephedrine, ephedrine & phenylpropanolamine(inadvertent use)",,
Mark Lewis-Francis,,Great Britain,,M,Sprinting,,2005,Public warning,,,,,Cannabis,,
Li Ji,,China,,,Long distance,,2001,2 years,,,,,,,
Elmar Lichtenegger,,Austria,,,Hurdling,,2003,15 months,,,,,Nandrolone,,
Elmar Lichtenegger,,Austria,,,Hurdling,,20/11/2007,Life ban,,,,,Norandrosterone,,
Lim Eun-ji,,South Korea,,,Pole vault,,2010,3 months,,,,,Hydrochlorothiazide & Chlorothiazide,,
Lim Hee-nam,,South Korea,,,Sprinting,,2011,6 months,,,,,Methylhexaneamine,,
Lin Na,,China,,,Middle distance,,2002,2 years,,,,,,,
Piotr Lisek,,Poland,,M,Pole vault,,15/06/2012,6 months,14/12/2012,,,,Methylhexaneamine,,
Lin Yili,,China,,,,,,,,,,,,,
Liu Hong,,China,,,Race walk,,2016,1 month,,,,,Higenamine,,
Liu Huyuan,,China,,,Long distance,,2002,2 years,,,,,,,
Liu Jing,,China,,,Hurdling,,2001,2 years,,,,,Refusal to submit to doping control,,
Liu Yunfeng,,China,,,Race walking,,2001,,,,,,,,
Jason Livingston,,Great Britain,,M,Sprinting,,1992,4 years,,,,,Methandienone,,
Jud Logan,,United States,,,Hammer throw,,1992,4 years,,,,,Clenbuterol,,
Cathal Lombard,,Ireland,,,Middle distance,,2004,2 years,,,,,EPO,,
Andrea Longo,,Italy,,,Middle distance,,2001,2 years,,,,,Nandrolone,,
Gilmar Lopes,,Brazil,,,Long distance,,2014,1 year,,,,,Hydrochlorothiazide,,
Juan Miguel Lopez,,Cuba,,,Triple jump,,1986,,,,,,,,
Wilson Loyanae,,Kenya,,,Long distance,,2012,2 years,,,,,EPO,,
Chris Lukezic,,United States,,,Middle distance,,2010,2 years,,,,,Refusal to submit to doping control,,
Nataliia Lupu,,Ukraine,,,Middle-distance,,2014,9 months,,,,,Methylhexaneamine,,
LÅ Huihui,,China,,,Javelin throw,,2013,1 year,,,,,,,
Vyacheslav Lykho,,Soviet Union,,,Shot put,,1990,,,,,,Pseudoephedrine,,
Tatyana Lysenko,,Russia,,,Hammer throw,,2007,2 years,,,,,6?-methylandrostendione,,
Kaarlo Maaninka,,Finland,,,Long distance,,1980,?,,,,,Self admittance: Blood transfusioins (not illegal at the time),,
Remigius Machura(born 1960),,Czechoslovakia,,,Shot put,,1985,2 years(Reduced from life ban),,,,,Stanozolol,,
Remigius Machura(born 1986),,Czech Republic,,,Shot put,,2010,2 years,,,,,HGH,,
Colin Mackenzie,,Great Britain,,M,Javelin throw,,1994,3 months,,,,,,,
Simon Magakwe,,South Africa,,,Sprinting,,2014,2 years,,,,,Refusal to submit to doping control,,
Maurren Maggi,,Brazil,,,Long jump,,2003,2 years,,,,,Clostebol,,
Mike Mahovlich,,Canada,,,Javelin throw,,1986,,,,,,,,
Edi Maia,,Portugal,,,Pole vault,,2008,"Public warning, disqualification from events",,,,,Cannabis,,
Pascal Mancini,,Switzerland,,,Sprinting,,20/11/2011,Public warning,,,,,Undisclosed,,
Pascal Mancini,,Switzerland,,,Sprinting,,2012,2 years,29/01/2014,,,,Norandrosterone,,
Luvo Manyonga,,South Africa,,,Long jump,,20/03/2012,18 months,20/09/2013,,,,Methamphetamine,,
Irina Maracheva,,Russia,,,Middle distance,,2012,2 years,,,,,Biological passport,,
Pascal Maran,,France,,,Hurdling,,1997,Public warning and disqualification,,,,,Ephedrine,,
Natalia Marasescu,,Romania,,,Middle distance,,1979,8 months,,,,,Anabolic steroids,,
Brian Mariano,,Netherlands,,,Sprinting,,2016,4 years,,,,,Stanozolol,,
Martin Maric,,Croatia,,,Discus throw,,2014,2 years,,,,,Ostarine(SARMs),,
Itay Margalit,,Israel,,,High jump,,1999,,,,,,Nandrolone,,
Marina Marghieva,,Moldova,,F,Hammer throw,,03/07/2012,2 years,13/03/2014,,,,Stanozolol,,
Zalina Marghieva,,Moldova,,,Hammer throw,,2009{Retested 2013),2 years,,,,,"Dehydrochloromethyltestosterone,stanozolol",,
Dzmitry Marshin,,Azerbaijan,,,Hammer throw,,2015,4 years,,,,,Dehydrochloromethyltestosterone,,
LaVonna Martin-Floreal,,United States,,,Hurdling,,1991,14 months(Reduced from 2 years),,,,,Furosemide,,
David Martinez,,Spain,,,Discus throw,,1997,2 years,,,,,Nandrolone,,
Yousef Masrahi,,Saudi Arabia,,,Sprinting,,2016,4 years,,,,,EPO,,
Maude Mathys,,Switzerland,,,Ultramarathon/Ski mountaineering,,2015,Public warning,,,,,Clomifene,,
Richard Mavuso,,South Africa,,M,Long distance,,22/05/2011,2 years,16/06/2013,,,,Norandrosterone,,
Natasha Mayers,,Saint Vincent and the Grenadines,,,Sprinting,,2005,2 years,,,,,T/E-4,,
Eduard Mbengani,,Portugal,,M,Middle/Long distance,,23/12/2010,2 years,16/02/2013,,,,EPO,,
John McEwen,,United States,,,Hammer throw,,2003,2 years,,,,,"Tetrahydrogestrinone,Modafinil",,
Mark McKoy,,Canada,,,Hurdling,,1980's,2 years,,,,,Self admittance of steroid use (Dubin inquiry),,
Inika McPherson,,United States,,,High jump,,2014,21 months,,,,,Benzoylecgonine,,
Ekaterina Medvedeva,,Russia,,,Race Walking,,2013,2 years,,,,,EPO,,
Nijole Medvedeva,,Lithuania,,,Long jump,,1992,,,,,,Mesocarb,,
Fathi Meftah,,Algeria,,,Long distance,,2008,2 years,,,,,Norandrosterone,,
Irina Meleshina,,Russia,,F,Long jump,,07/02/2012,2 years,20/02/2014,,,,Testosterone,,
Jimmy Melfort,,France,,M,Sprinting,,07/07/2012,3 months,27/11/2012,,,,Methylhexaneamine,,
Mihaela Melinte,,Romania,,,Hammer throw,,2000,2 years,,,,,Nandrolone,,
Miroslav Menc,,Czech Republic,,,Shot put,,1998,2 years,,,,,Stanozolol,,
Miroslav Menc,,Czech Republic,,,Shot put,,2001,Life ban,,,,,Norandrosterone,,
Amewu Mensah,,Germany,,,High jump,,2001,2 years,,,,,Oxandrolone,,
LaShawn Merritt,,United States,,,Sprinting,,2009/2010,21 months,,,,,Testosterone,,
Elena Meuti,,Italy,,,High jump,,2012,5 months,,,,,Tetrahydrocannabinol,,
Karin Mey Melis,,Turkey,,,Long jump,,2012,2 years,,,,,Testosterone,,
Gabriela Mihalcea,,Romania,,,High jump,,1987,2 years,,,,,,,
Andrei Mikhnevich,,Belarus,,,Shot put,,2001,2 years,,,,,Human chorionic gonadotropin,,
Andrei Mikhnevich,,Belarus,,,Shot put,,2005(Retested in 2012),Life ban,,,,,"Clenbuterol,Methandienone,Oxandrolone",,
Natallia Mikhnevich,,Belarus,,,Shot put,,2013,2 years,,,,,Stanozolol,,
Inger Miller,,United States,,,Sprinting,,1999,Public warning,,,,,Caffeine,,
Tatyana Mineeva,,Russia,,,Race walking,,2011,2 years,,,,,Biological passportanomalies,,
Ildar Minshin,,Russia,,,Steeplechase,,2009,2 years,,,,,Biological passportanomalies,,
Yevgeniy Mironov,,Soviet Union,,,Shot put,,1978,18 months,,,,,Anabolic steroids,,
Anna Mishchenko,,Ukraine,,,Middle distance,,2012,2 years,,,,,Biological passport,,
Dennis Mitchell,,United States,,,Sprinting,,1998,2 years,,,,,Testosterone,,
Dennis Mitchell,,United States,,,Sprinting,,BALCO scandal,?,,,,,Admittance in court:HGH,,
Diane Modahl,,United Kingdom,,,Middle distance,,1994,Fully exonerated,,,,,Testosterone,,
Ofentse Mogawane,,South Africa,,,Sprinting,,2006,Public warning,,,,,Methylprednisolone,,
Ghofrane Mohammad,,Syria,,,Hurdling,,2012,6 months,,,,,Methylhexaneamine,,
Felicia Moldovan,,Romania,,,Javelin throw,,1990,2 years,,,,,,,
(Felicia Tilea),,Romania,,,Javelin throw,,1990,2 years,,,,,,,
Tim Montgomery,,United States,,M,Sprinting,,2001,2 years,,,,,"BALCO investigation:Steroids,HGH",,
Tim Montgomery,,United States,,M,Sprinting,,2000,,,,,,"Public admittance in 2008:Testosterone,HGH",,
Amantle Montsho,,Botswana,,,Sprinting,,2014,2 years,,,,,Methylhexaneamine,,
Luis Morales,,Puerto Rico,,,Sprinting,,1988,2 years,,,,,,,
Sara Moreira,,Portugal,,F,Long-distance,,2011,6 months,,,,,Methylhexaneamine,,
Edder Moreno,,Colombia,,,Shot put,,2014,2 years,,,,,Stanozolol,,
Sheryl Morgan,,Jamaica,,,Sprinting,,2003,Public warning,,,,,,,
Sergey Morozov,,Russia,,,Race walking,,2008,2 years,,,,,EPO,,
Sergey Morozov,,Russia,,,Race walking,,2011,Life ban,,,,,Biological passportanomalies,,
Ramolefi Motsieloa,,Lesotho,,,Long distance,,2014,2 years,,,,,Methylhexaneamine,,
William Motti,,France,,,Decathlon,,1989,2 years,,,,,,,
Bertrand Moulinet,,France,,,Race walking,,2015,4 years,,,,,FG-4592(HIF inhibitor),,
Hassan Mourhit,,Belgium,,,Long distance,,2008,2 years,,,,,Anastrozol,,
Mohammed Mourhit,,Belgium,,,Middle/Long distance,,2002,2 years,,,,,EPO,,
Gael Mulhall,,Australia,,,"Discus throw, shot put",,1981,18 months,,,,,Anabolic steroids,,
µngel Mullera,,Spain,,,Steeplechase,,2015,2 years,,,,,Refusal,,
Steve Mullings,,Jamaica,,,Sprinting,,2004,2 years,,,,,Testosterone,,
Steve Mullings,,Jamaica,,,Sprinting,,2011,Life ban,,,,,Furosemide,,
Julia Mumbi Muraga,,Kenya,,,Marathon,,2014,2 years,,,,,EPO,,
Jauna Murmu,,India,,F,Sprinting,,25/05/2011,2 years,23/06/2013,,,,Methandienone,,
Sammy Alex Mutahi,,Kenya,,,Long distance,,2011,"Public reprimand, disqualification of result",,,,,,,
Elizabeth Muthuka,,Kenya,,,Sprinting,,2008,2 years,,,,,Norandrosterone,,
Semiha Mutlu,,Turkey,,,Race walk,,2011,2 years and 6 months,,,,,Biological passport,,
Semiha Metlu-Ozdemir,,Turkey,,,Race walk,,2011,2 years and 6 months,,,,,Biological passport,,
Carl Myerscough,,Great Britain,,M,Shot put,,1999,2 years,,,,,Anabolic steroids,,
Melissa Myerscough(nÇe Melissa Price),,United States,,,Hammer throw,,2003,2 years,,,,,THG,,
Larry Myricks,,United States,,,Long jump,,1990,,,,,,Phenylpropanolomine,,
CÇdric Nabe,,Switzerland,,,Sprinting,,2011,18 monthsExtended by CAS from 1 year,,,,,Whereabouts failure û3,,
Rachid Nadij,,Morocco,,,Long distance,,2007,3 months,,,,,Ephedrine,,
Kaltouma Nadjina,,Chad,,,Sprinting,,2009,Reprimand and disqualification of result,,,,,,,
Tezzhan Naimova,,Bulgaria,,,Sprinting,,2008,2 years,,,,,Tampering with test,,
Tezzhan Naimova,,Bulgaria,,,Sprinting,,2013,Life ban,,,,,Drostanolone,,
Cosmas Ndeti,,Kenya,,,Long distance,,1988,3 months,,,,,Ephedrine,,
Lisa Nemec,,Croatia,,,Long distance,,2015,4 years,,,,,EPO,,
John Ngugi,,Kenya,,,Long distance,,1993,,,,,,Missed test,,
Antoni Niemczak,,Poland,,,Marathon,,1986,2 years,,,,,Nandrolone,,
Larisa Nikitina,,Soviet Union,,,Heptathlon,,1990,,,,,,Amphetamines,,
(Larisa Turchinskaya),,Soviet Union,,,Heptathlon,,1990,,,,,,Amphetamines,,
Ilja Nikolajev,,Estonia,,,Marathon,,2013,2 years,,,,,Biological passport,,
Lars Arvid Nilsen,,Norway,,,Shot put,,1987,2 years,,,,,Probenecid & Anabolic steroids,,
Lars Arvid Nilsen,,Norway,,,Shot put,,1992,Life ban,,,,,Metenolone,,
Cyrus Njui,,Kenya,,,Long distance,,2015,8 months,,,,,Methylephedrine,,
Siyabonga Nkonde,,South Africa,,,Cross country running,,2014,6 months,,,,,,,
Nadia Noujani,,Morocco,,,Long distance,,2014,2 years,,,,,EPO,,
Jonathan Nsenga,,Belgium,,,Hurdling,,1997,,,,,,Ephedrine,,
Juan Nunez,,Dominican Republic,,,Sprinting,,1983,,,,,,Fencamfamine,,
Liliya Nurutdinova,,Russia,,,Middle distance,,1993,4 years,,,,,Stanozolol,,
Musa Amer Obaid,,Qatar,,,Steeplechase,,2006,2 years,,,,,Testosterone,,
Al Oerter,,United States,,,Discus throw,,1976,?,,,,,Anabolic steroids. (Self-admitted),,
Deborah Oluwaseun Odeyemi,,Niger,,,Sprinting,,2015,4 years,,,,,Metenolone,,
Amaka Ogoegbunam,,Nigeria,,,Sprinting,,2009,3 years,,,,,Metenolone,,
Femi Ogunode,,Qatar,,M,Sprinting,,15/12/2011,2 years,08/01/2014,,,,Clenbuterol,,
Christine Ohuruogu,,Great Britain,,F,Sprinting,,2006,1 year,,,,,3 whereabouts failures,,
Aham Okeke,,Norway,,,Sprinting,,1994,30 months,,,,,Testosterone & Pseudoephedrine,,
Aham Okeke,,Norway,,,Sprinting,,2006,Life ban,,,,,Testosterone,,
Samuel Okon,,Nigeria,,,Hurdling,,2010,,,,,,Methylhexanamine,,
Iulia Olteanu,,Romania,,,Cross country,,1996,2 years,,,,,Stanozolol,,
Omolara Omotosho,,Nigeria,,,Sprinting,,2009,2 years,,,,,Metenolone,,
Mary Onyali-Omagbemi,,Nigeria,,,Sprinting,,1996,3 months,,,,,Ephedrine,,
Janet Ongera,,Kenya,,,Long distance,,2002,2 years,,,,,Norandrosterone,,
Josephine Onyia,,Spain,,,Hurdling,,2008,2 years,,,,,Methylhexaneamine & Clenbuterol,,
Josephine Onyia,,Spain,,,Hurdling,,2011,2 years,,,,,Methylhexaneamine,,
Josephine Onyia,,Spain,,,Hurdling,,2015,Life ban,,,,,Metenolone,,
Charity Opara,,Nigeria,,,Sprinting,,1992,4 years,,,,,,,
Helder Ornelas,,Portugal,,M,Marathon,,2010,4 years,12/01/2016,,,,Biological passport,,
Yolanda Osana,,Dominican Republic,,,Hurdling,,2012,2 years,,,,,Stanozolol,,
Oludamola Osayomi,,Nigeria,,,Sprinting,,2010,,,,,,Methylhexaneamine,,
Artur Osman,,Poland,,,Long distance,,2005,2 years,,,,,Norandrosterone,,
Nadzeya Ostapchuk,,Belarus,,,Shot put,,2012,4 years,,,,,Metenolone,,
Nadzeya Ostapchuk,,Belarus,,,Shot put,,2005(Retested in 2012),,,,,,Formestane & 4-Hydroxytestosterone,,
Hanane Ouhaddou,,Morocco,,,Steeplechase,,2009,2 years,,,,,Biological passport,,
Lawretta Ozoh,,Nigeria,,F,Sprinting,,11/07/2012,2 years,11/07/2014,,,,Stanozolol,,
